plan_id,plan_date,plant_id,yard_id,customer_id,region,product_cat,product_grade,priority_tier,priority_score,mode_pref,distance_km,rail_speed_kmph,transit_hours,lp_tph,lp_cutoff_active,lp_shift_util,effective_lp_tph,siding_slots,inventory_t,production_forecast_t,order_demand_t,sla_days,lead_days,rake_available,rake_type,wagons_available,wagon_type,route_block_hours,min_rake_tonnage,planned_qty_t,load_hours,siding_queue_hours,expected_demurrage,utilization_pct,terminal_cost,late_penalty_per_t_day,road_cost_per_t_km,rail_cost_total,road_cost_total,choose_rail_label,selected_for_rake_label,on_time_label
PLANIEC4D1,30-01-2025,P_BSP,CMO_KOLKATA,CUST0097,East,Coil,HR,Normal,78.5,Rail,1532,33.4,49.2,834.1,0,0.9,813.6,3,684.3,960.7,675.8,9,3,0,RT59,59,BRN,0,2750,675.8,0.83,0,0,17.6,102518.62,351.0139581,1.817646769,1657297.83,1881856.23,1,0,1
PLAN45BM1E,03-03-2025,P_BSP,CMO_CHENNAI,CUST0108,South,Coil,CR,Normal,27.2,Rail,886,36.8,22.2,1373.3,0,0.91,1341.1,3,614.5,987.9,2089.9,2,4,1,RT58,31,BOST,9,2700,1207.2,0.9,4.91,3405.56,34.7,72302.42,148.6126541,1.690539435,1746002.58,1808165.82,1,0,1
PLANNF313F,16-03-2025,P_BSP,CMO_BHOPAL,CUST0006,Central,Wire,TMT,Normal,70,Rail,1583,45.3,38.8,1262.5,0,0.64,1147.7,1,2322.6,617.2,1999.1,6,2,1,RT59,42,BRN,8,2750,1999.1,1.74,9.13,33914.85,52.1,64612.59,93.51172707,1.499698378,3128973.66,4745908.45,1,0,1
PLANPOYIPK,29-04-2025,P_BSP,CMO_KOLKATA,CUST0056,East,Slab,CR,VIP,105.5,Rail,1417,29.5,58.3,1447.5,0,0.81,1379.9,2,1701.3,705.5,2029.1,3,7,1,RT59,65,BOST,9,2750,2029.1,1.47,4.14,1502.39,57.3,95388.57,99.27074826,1.523176654,3217925.66,4379490.37,1,1,1
PLAN0QTL3Q,04-02-2025,P_BSP,CMO_KOLKATA,CUST0369,East,Coil,HR,Normal,60.2,Rail,1603,38.5,46.7,609.9,0,0.95,602.5,2,632.7,0,1800.6,5,2,0,RT58,67,BRN,9,2700,632.7,1.05,7.62,16275.6,16.8,78336.33,284.9406129,1.489946124,1422416,1511130.33,1,0,1
PLAN4N89QK,30-03-2025,P_BSP,CMO_BHOPAL,CUST0147,Central,Slab,S1,Normal,39.9,Rail,1458,46,30.7,969.8,0,0.95,957.6,2,578.2,422.7,1438.7,4,2,1,RT58,67,BOST,5,2700,831.8,0.87,13.77,47065.72,23.9,30000,133.7880097,1.615178407,2017314.53,1958830.87,0,0,1
PLANNS832E,13-04-2025,P_BSP,CMO_KOLKATA,CUST0202,East,Wire,S1,Normal,66.3,Rail,564,39.4,7.6,950.1,1,0.59,724.7,4,1556.9,374,1373.6,8,3,1,MIX60,35,BRN,24,2850,1373.6,1.9,7.23,41065.96,35.2,81156.34,223.7969479,1.834430541,1211573.25,1421152.42,1,0,1
PLANJX5TD4,03-03-2025,P_BSP,CMO_DELHI,CUST0236,North,Wire,TMT,Normal,31.3,Rail,1314,53,22.3,920.5,0,0.94,907.3,4,2109.4,363.2,2283.1,7,7,1,RT45,33,BOBRN,0,2200,2283.1,2.52,11.13,29257.99,84.6,68642.41,245.9076309,1.671286719,3259451.46,5013849.13,1,0,1
PLAN4K1J6F,04-07-2025,P_BSP,CMO_KOLKATA,CUST0135,East,Coil,TMT,Normal,32,Rail,123,29.5,6,1306.3,0,0.95,1289.4,4,2156.7,647.2,50,7,6,1,RT59,55,BOXN,8,2750,50,0.04,1.53,0,1.3,58385.26,219.4619795,1.386821049,649284.67,8528.95,0,0,1
PLANP8HQMA,01-01-2025,P_BSP,CMO_KOLKATA,CUST0388,East,Rod,S1,High,64.9,Rail,1644,34.2,40.1,1126.2,0,0.77,1060.5,3,1257,689.7,606.4,1,4,1,RT58,63,BOST,9,2700,606.4,0.57,5.12,1848.47,17.4,74064.8,207.0954301,1.859866393,1626322.19,1854140.98,1,0,0
PLANBSI9NB,27-01-2025,P_BSP,CMO_KOLKATA,CUST0111,East,Wire,TMT,Normal,39.4,Rail,650,26.1,31.4,982.2,0,0.6,884.4,4,1294.3,374,504.8,6,4,1,RT58,60,BOXN,11,2700,504.8,0.57,4.52,3077.51,13.8,65587.17,248.7341089,2.035737361,1277413.11,667966.14,0,0,1
PLAN74X2EK,03-03-2025,P_BSP,CMO_KOLKATA,CUST0090,East,Rod,HR,Normal,23.7,Rail,662,52,16.2,924.2,0,0.53,814.5,1,1337.3,1303.4,389.6,2,3,1,RT45,66,BRN,8,2200,389.6,0.48,6.94,10576.78,13.3,65866.82,231.4899792,1.398386164,831793.29,360665.05,0,0,1
PLAN3ZEZQA,26-04-2025,P_BSP,CMO_MUMBAI,CUST0286,West,Rod,HB,Normal,78,Rail,1195,34.3,28.5,959.7,0,0.59,861.9,4,2430.5,1039.6,1700,8,3,1,RT45,40,BCNHL,23,2200,1700,1.97,6.28,40184.66,60.9,82937.5,233.4019038,1.255559841,2397163.07,2550669.82,1,0,1
PLANCJ4T0S,18-03-2025,P_BSP,CMO_DELHI,CUST0099,North,Plate,S1,VIP,128.4,Rail,1368,28.1,38,1416.4,0,0.56,1262.3,3,722.3,882.5,2192.2,6,4,0,RT58,32,BOXN,8,2700,1251.8,0.99,5.64,8207.14,34.3,95453.23,182.5312311,1.607006281,1926362.99,2751937.83,1,0,1
PLANEKKBP2,15-04-2025,P_BSP,CMO_CHENNAI,CUST0278,South,Coil,TMT,High,93.7,Rail,974,36.3,31.1,1183.3,0,0.59,1062.8,2,1829.2,1058.2,2167.4,9,6,1,RT58,32,BOBRN,5,2700,2167.4,2.04,7.41,18582.8,62.3,53009.99,167.8814735,1.604288704,3051404.03,3386729.82,1,0,1
PLANQD6VAS,01-03-2025,P_BSP,CMO_CHENNAI,CUST0356,South,Slab,TMT,Normal,26.9,Rail,299,31.6,6,1407.8,0,0.97,1396.1,1,3332.8,112.3,947,1,3,1,MIX60,30,BOBRN,1,2850,947,0.68,15.35,39480.61,26.3,96516.98,164.4876107,1.741487968,1053127.44,493107.54,0,0,1
PLANIFPWIO,13-04-2025,P_BSP,CMO_CHENNAI,CUST0184,South,Coil,TMT,Normal,29.4,Rail,1004,36.4,28.1,1866.2,0,0.58,1669.5,3,1464.2,101,601.5,8,9,1,RT59,35,BOST,10,2750,601.5,0.36,2.31,0,17,77806.8,64.10170244,1.625507229,1421022.46,981653.57,0,0,1
PLANXD9CSS,03-11-2025,P_BSP,CMO_BHOPAL,CUST0209,Central,Wire,HB,Normal,32.5,Rail,1545,40.2,35.9,1195.5,0,0.75,1121.7,5,1990.7,1287.3,1915.6,2,7,1,RT45,51,BCNHL,1,2200,1915.6,1.71,5.92,0,68.7,105464.73,217.9185602,1.489523477,2924643.74,4408396.66,1,0,1
PLAN9TOQW9,13-03-2025,P_BSP,CMO_BHOPAL,CUST0005,Central,Coil,S1,High,68.7,Rail,480,44.8,15.5,845.7,0,0.61,763.8,2,2320.2,1752.7,2158.8,7,9,1,RT59,40,BOBRN,0,2750,2158.8,2.83,3.11,0,61,94034.5,193.1138847,1.429396273,1571108.09,1481174.72,0,0,1
PLANJA2M0W,27-01-2025,P_BSP,CMO_KOLKATA,CUST0386,East,Wire,A,Normal,46,Rail,1503,39,43.5,1165.7,0,0.54,1030.4,4,1218.3,821.8,2205.4,3,1,1,RT58,55,BOST,3,2700,1711.4,1.66,15.93,46289.82,49.2,51045.95,123.3128852,1.595628149,2728227.48,4104329.3,1,0,1
PLAN10LBT3,01-09-2025,P_BSP,CMO_MUMBAI,CUST0400,West,Slab,CR,High,93.1,Rail,806,40.2,15.1,1669.8,0,0.62,1509.8,3,1701.1,1700.2,806.5,7,4,1,RT59,52,BOST,3,2750,806.5,0.53,0,0,22.8,84155.64,283.5744524,1.798796981,1589773.58,1169288.19,0,0,1
PLANG2QZW3,03-03-2025,P_BSP,CMO_DELHI,CUST0391,North,Plate,A,Normal,30.9,Rail,1070,36.5,34.6,1471.7,0,0.83,1409.2,5,828.7,800.5,2379.5,1,5,0,RT59,67,BOXN,3,2750,1309,0.93,1.42,0,35.2,89690.14,86.53893458,1.493348724,2088013.37,2091629.02,1,0,0
PLANC1QKBH,02-06-2025,P_BSP,CMO_CHENNAI,CUST0229,South,Plate,CR,VIP,127.5,Rail,978,30.9,29.9,1038.5,1,0.6,793.4,3,2420.3,516.5,1926.5,9,5,1,RT59,35,BCNHL,1,2750,1926.5,2.43,1.53,0,52.7,67035.27,127.1136271,1.710927898,2719137.38,3223588.34,1,0,1
PLANB7S9TJ,04-07-2025,P_BSP,CMO_MUMBAI,CUST0163,West,Rod,HR,High,67.3,Rail,1679,28.9,58.2,1124,0,0.57,1003.1,4,1993.6,1192.1,1102.7,6,6,0,RT45,67,BCNHL,5,2200,1102.7,1.1,10.02,34070.29,39.5,94204.63,270.2949645,1.489805338,2187631.94,2758275.21,1,0,1
PLAN1GM25L,20-02-2025,P_BSP,CMO_DELHI,CUST0251,North,Coil,S1,VIP,113.8,Rail,937,37.8,25,1393.8,0,0.55,1236.5,3,3639.9,0,1361.2,7,6,1,RT58,60,BOST,3,2700,1361.2,1.1,12.62,41321.09,39.1,90745.07,243.5583274,1.462429073,1744612.51,1865246.97,1,0,1
PLANEN606N,16-04-2025,P_BSP,CMO_BHOPAL,CUST0261,Central,Coil,HB,Normal,87.9,Rail,883,40.5,35.3,1319.9,0,0.57,1178.2,5,3061.7,565,1176.2,9,2,1,RT59,51,BOST,10,2750,1176.2,1,7.44,22760.56,33.2,76527.8,181.0496095,1.784268874,1458229.74,1853114.18,1,0,1
PLAN9RR7S2,13-02-2025,P_BSP,CMO_MUMBAI,CUST0270,West,Rod,CR,High,60.7,Rail,569,37.4,14.5,1396.4,0,0.52,1227.3,3,3673.4,469,1231.2,1,3,1,RT58,32,BRN,3,2700,1231.2,1,6.76,4283.75,32.7,79556.76,220.1078032,1.84284874,1231546.42,1291012.84,1,0,1
PLAN0CV3TL,24-01-2025,P_BSP,CMO_DELHI,CUST0106,North,Plate,S1,VIP,132.6,Rail,1588,29.1,44.5,1140.2,0,0.59,1023.1,1,3778.9,320.1,2567.7,8,4,0,RT59,55,BCNHL,4,2750,2567.7,2.51,5.86,10040.17,70.2,76237.45,251.9483489,1.640383407,4996258.95,6688675.81,1,0,1
PLANCXLVPY,20-03-2025,P_BSP,CMO_CHENNAI,CUST0330,South,Slab,A,Normal,74.8,Rail,1573,41.2,33.9,1297.1,0,0.94,1277.9,1,1171,600.6,2164.6,7,1,1,RT59,31,BOST,7,2750,1531.4,1.2,7.45,20959.91,43.3,86280.96,248.8184494,1.402777673,2970002.98,3379140.2,1,0,1
PLANMB5M9J,28-02-2025,P_BSP,CMO_KOLKATA,CUST0296,East,Plate,A,VIP,94.9,Rail,1677,49.8,38.1,1123.7,0,0.98,1117.6,4,2410.8,916.2,1024,2,4,1,MIX60,51,BOST,11,2850,1024,0.92,13.79,32169.68,28.4,97503.22,209.3269325,1.472757705,2667494.98,2529090.22,0,0,0
PLAN98CWN2,28-04-2025,P_BSP,CMO_DELHI,CUST0174,North,Plate,A,Normal,24.9,Rail,1017,39.3,24.2,1548.4,0,0.86,1492.2,5,2710,1324.6,1483.7,1,5,1,RT45,57,BOST,1,2200,1483.7,0.99,2.08,0,55,74757.34,127.8819144,1.307692525,1715415.31,1973207.2,1,0,0
PLANY8FV2B,02-01-2025,P_BSP,CMO_CHENNAI,CUST0198,South,Wire,A,Normal,26,Rail,923,36.5,25.4,818.4,0,0.76,769.5,5,1243.7,1216.6,2220.9,1,7,1,RT58,44,BCNHL,42,2700,1973.7,2.56,8.95,102741.05,54.9,85773.97,143.3065294,1.699503601,2102364.9,3096028.37,1,0,0
PLANC2NNUV,04-06-2025,P_BSP,CMO_BHOPAL,CUST0278,Central,Coil,S1,Normal,31.5,Rail,1785,39.6,42.4,819.2,0,0.53,723.2,5,3789.2,162.5,381.6,4,5,1,RT59,35,BRN,26,2750,381.6,0.53,0,1619.32,10,91431.93,112.4384357,1.559397291,1645939.49,1062192.82,0,0,1
PLANY8N1UT,29-03-2025,P_BSP,CMO_KOLKATA,CUST0372,East,Plate,S1,Normal,69.1,Rail,1548,33.4,29.5,1021.3,0,0.89,993.7,5,1693.8,1716,2219.2,5,1,1,RT58,61,BRN,11,2700,2219.2,2.23,9.84,35302.1,58.9,109827.99,128.1539268,1.599463512,4091288.66,5494671.55,1,1,1
PLANOXIE0R,15-04-2025,P_BSP,CMO_CHENNAI,CUST0378,South,Coil,TMT,Normal,50.8,Rail,1372,33,36.9,1030.4,0,0.59,924.2,5,2653.9,1298.5,3184.7,7,5,0,RT59,50,BRN,1,2750,3184.7,3.45,1.92,0,83,67570.23,209.6634535,1.734747191,4754572.91,7579818.95,1,0,1
PLANNUJJQ9,21-02-2025,P_BSP,CMO_DELHI,CUST0246,North,Coil,TMT,Normal,40.1,Rail,346,42.7,7.6,818.4,0,0.85,788.3,2,3505.4,816.2,2020.6,8,7,1,RT59,54,BOST,9,2750,2020.6,2.56,2.7,0,57.1,59290.67,217.6649512,1.426667157,1056842.53,997422.39,0,0,1
PLANK6RE4Q,23-04-2025,P_BSP,CMO_MUMBAI,CUST0380,West,Coil,CR,High,77.3,Rail,133,45.9,6,773.4,0,0.97,767.7,3,2337.2,1338.2,1671.6,2,1,0,RT45,50,BOXN,10,2200,1671.6,2.18,15.29,53175.13,59,75196.71,116.9657785,1.737444757,438787.46,386273.58,0,0,1
PLAN6QDY4L,03-03-2025,P_BSP,CMO_KOLKATA,CUST0290,East,Coil,TMT,High,111.5,Rail,607,39.1,8.4,1467.1,0,0.89,1428.2,5,5368.9,431.5,736.2,9,4,0,RT59,48,BOBRN,6,2750,736.2,0.52,0,0,20.8,95848.56,121.6193031,1.848734148,1306759.42,826150.11,0,0,1
PLANMCT64Z,23-04-2025,P_BSP,CMO_KOLKATA,CUST0231,East,Coil,TMT,Normal,36.4,Rail,1623,28.2,55.6,1158.2,0,0.79,1098.5,1,7715.4,1137.8,187.6,7,7,1,RT58,41,BOBRN,2,2700,187.6,0.17,9.98,18275.37,5.4,55356.44,118.3423692,1.34531843,1065566.4,409615.56,0,0,1
PLAN7W2SEH,27-02-2025,P_BSP,CMO_DELHI,CUST0283,North,Coil,S1,Normal,45.6,Rail,695,42.1,14.5,1139.3,0,0.59,1022.5,3,1827.7,26.2,1443.1,6,4,1,RT58,39,BOXN,6,2700,1443.1,1.41,4.95,861.93,39.5,86069.19,156.7534115,1.727210583,1395708.35,1732313.63,1,0,1
PLANE2ATN2,21-02-2025,P_BSP,CMO_BHOPAL,CUST0197,Central,Rod,TMT,Normal,59.2,Rail,1162,52.4,24.5,1214.1,1,0.98,1026.3,4,3211.2,677.1,2144.5,8,4,1,RT58,67,BCNHL,1,2700,2144.5,2.09,13.01,40596.82,59.6,67486.83,107.1154843,1.653650094,3062581.59,4120745.55,1,1,1
PLANTWDL9Z,01-12-2025,P_BSP,CMO_KOLKATA,CUST0293,East,Slab,S1,Normal,39.8,Rail,1143,38.5,28,1599.5,0,0.55,1418.4,4,7488.4,1345.7,1686.5,2,7,1,RT58,54,BCNHL,3,2700,1686.5,1.19,7.21,6341.59,46.9,72112.04,202.4331522,1.727752933,2032317.49,3330536.63,1,0,1
PLANS13C9X,02-08-2025,P_BSP,CMO_CHENNAI,CUST0209,South,Wire,HR,Normal,33.1,Rail,1340,38.9,36.6,1229.1,0,0.86,1185.5,5,1248.2,616.7,2658.5,1,4,1,MIX60,45,BOBRN,2,2850,1618.2,1.36,4.43,0,45,78348.63,137.9467544,1.694863805,2698296.14,3675122.34,1,0,0
PLANQYM52X,01-02-2025,P_BSP,CMO_BHOPAL,CUST0070,Central,Coil,HR,High,78,Rail,1034,34.8,25.5,1172.2,0,0.63,1064.9,2,339.5,634.3,2058.3,5,4,0,RT58,68,BOXN,11,2700,720.1,0.68,2.56,0,19.7,80807.83,155.850972,1.488507166,1119589.69,1108317.73,0,0,1
PLANG8P6BE,01-03-2025,P_BSP,CMO_MUMBAI,CUST0261,West,Coil,S1,High,99.1,Rail,465,42.9,12.1,1040.6,0,0.51,912.4,2,3223.4,558.4,1241.7,9,4,1,RT59,57,BRN,5,2750,1241.7,1.36,0,0,32.4,59378.53,199.4248924,1.757635247,1210636.23,1014841.89,0,0,1
PLANFFLZM7,23-04-2025,P_BSP,CMO_BHOPAL,CUST0268,Central,Coil,HB,Normal,37.7,Rail,1709,36,56.3,1349.7,0,0.66,1234.1,3,1434.1,721.1,2680.7,7,7,1,RT59,51,BCNHL,10,2750,1866.8,1.51,1.88,0,51,64415.78,177.5275429,1.493544764,4270306.68,4764947.26,1,0,1
PLAN64JWTE,04-11-2025,P_BSP,CMO_BHOPAL,CUST0326,Central,Plate,TMT,Normal,42.3,Rail,813,46.1,19.4,1183.9,0,0.81,1128.9,2,878.7,395.3,2214.1,7,5,1,RT58,31,BRN,7,2700,1115.9,0.99,2.56,0,29.6,80769.2,105.9282174,1.713697911,1413890.57,1554712.5,1,0,1
PLANKTSG7F,23-04-2025,P_BSP,CMO_DELHI,CUST0388,North,Wire,CR,Normal,67.1,Rail,795,36.1,20.6,1613,0,0.94,1589.3,4,1179,1432.8,695.1,9,4,0,RT58,42,BOST,3,2700,695.1,0.44,2.11,0,20,97631.61,146.0973015,1.885304649,1134703.26,1041827.83,0,0,1
PLANXZV4U3,25-02-2025,P_BSP,CMO_DELHI,CUST0075,North,Wire,CR,Normal,33.3,Rail,729,42.1,11.7,1159.8,0,0.52,1021.2,5,709,320.4,1105.2,5,4,0,RT45,62,BOBRN,10,2200,901.2,0.88,8.95,28818.45,33.4,104480.92,60,1.372399895,1012443.52,901632.15,0,0,1
PLANBBXUX1,22-03-2025,P_BSP,CMO_MUMBAI,CUST0294,West,Slab,TMT,Normal,61.7,Rail,379,39.7,10.1,1451.9,0,0.89,1412.1,1,5010.3,929.6,1456.2,5,1,1,RT45,31,BRN,4,2200,1456.2,1.03,10.07,24277.36,49.8,99138.33,180.723187,1.455496743,986215.84,803288.36,0,0,1
PLANOXRWK8,28-02-2025,P_BSP,CMO_DELHI,CUST0065,North,Coil,HB,Normal,46.4,Rail,474,49.3,8.3,1022.2,1,0.76,817.1,4,4325.6,1138.2,3036.2,7,5,1,RT59,39,BRN,2,2750,3036.2,3.72,6.99,17560.94,79.2,61056.72,183.0808262,1.43914613,1708735.07,2071159.82,1,0,1
PLANR2YKCC,23-04-2025,P_BSP,CMO_BHOPAL,CUST0234,Central,Coil,HB,Normal,45.1,Rail,1310,42.5,34.2,1019.8,0,0.73,951.3,4,1575.2,505.7,2318.1,6,4,0,RT59,65,BOST,5,2750,1878.6,1.97,7.81,15956.35,53.1,75359.24,162.6131224,1.658218744,2776021.13,4080819.95,1,0,1
PLANPRHVLZ,01-02-2025,P_BSP,CMO_CHENNAI,CUST0379,South,Plate,S1,Normal,38.2,Rail,1439,48.3,18.8,743.3,0,0.86,717.5,3,1657.9,217.5,1078.6,6,5,1,RT58,38,BRN,7,2700,1078.6,1.5,7,8874.93,28.6,76432.15,160.7228578,1.741147771,2230591.76,2702444.86,1,0,1
PLAN049ENU,01-02-2025,P_BSP,CMO_BHOPAL,CUST0187,Central,Coil,S1,Normal,64.5,Rail,672,40.7,15.4,1398.6,0,0.61,1263.1,2,2033,568.8,4017.8,8,3,1,RT59,49,BRN,9,2750,2374.3,1.88,9.04,32915.55,61.9,94933.46,139.1533493,1.549833846,2291291.6,2472805.78,1,1,1
PLANLQJIDK,04-02-2025,P_BSP,CMO_MUMBAI,CUST0326,West,Plate,A,Normal,49.2,Rail,593,39,17.7,1190.4,0,0.82,1137.1,1,4932,641.7,2350.3,4,2,0,RT58,53,BCNHL,8,2700,2350.3,2.07,5.38,12124.55,65.4,99028.23,245.1591933,1.462303055,1866359.5,2038052.57,1,0,1
PLANNWI5FL,23-02-2025,P_BSP,CMO_DELHI,CUST0347,North,Slab,A,VIP,109.8,Rail,1281,39.8,33,1359.9,0,0.65,1241,1,957,1167.5,969.2,2,3,1,RT45,68,BOXN,9,2200,969.2,0.78,8.83,20863.87,34.2,84292.26,99.17027088,1.862977091,1753276.99,2312970.27,1,0,0
PLANUL1RSR,28-03-2025,P_BSP,CMO_DELHI,CUST0066,North,Coil,S1,High,77.3,Rail,475,35.4,11.4,1624,0,0.8,1544.8,2,1636.9,740.9,1591.6,3,1,1,MIX60,40,BRN,5,2850,1591.6,1.03,7.41,8994.86,40.8,96340.18,284.4790045,1.782497824,1531484.58,1347586.18,0,0,1
PLANLA8S8H,04-11-2025,P_BSP,CMO_BHOPAL,CUST0350,Central,Wire,S1,Normal,33.9,Rail,450,43.2,8.3,988.3,0,0.51,867.5,5,3822.7,801,1437.9,4,3,0,RT59,39,BOXN,7,2750,1437.9,1.66,7.59,17411.16,38.7,127321.61,116.6205145,1.265142958,1110745.8,818617.08,0,0,1
PLANMBR5XQ,04-06-2025,P_BSP,CMO_CHENNAI,CUST0359,South,Coil,TMT,High,64,Rail,937,35.9,19.5,950.5,0,0.95,938.9,2,1479.1,237.9,1211.8,5,10,1,RT45,53,BRN,4,2200,1211.8,1.29,9.53,21582.46,41.4,98637.74,164.9531779,1.59598922,1760418.48,1812176.49,1,0,1
PLANT4P501,04-07-2025,P_BSP,CMO_CHENNAI,CUST0105,South,Coil,CR,High,63.7,Rail,870,40.7,23.7,1003.2,1,0.94,839.5,5,1095.3,722.5,2712.3,2,6,0,RT59,44,BRN,5,2750,1528.8,1.82,8.51,18906.5,39.9,74768.76,173.7346656,1.478627888,1743129.73,1966657.89,1,0,1
PLANNOUHTC,01-01-2025,P_BSP,CMO_MUMBAI,CUST0335,West,Rod,HR,VIP,118,Rail,737,45.1,18.9,674.1,0,0.95,665.6,1,1997.8,1374.6,1710.8,8,5,0,RT59,52,BCNHL,0,2750,1710.8,2.57,4.01,0,46.8,62857.65,257.6476557,1.649332171,1613342.32,2079576.3,1,0,1
PLANS1K9YE,19-01-2025,P_BSP,CMO_BHOPAL,CUST0186,Central,Wire,A,High,81.6,Rail,1421,49.5,20.2,1151.7,1,0.54,865.3,3,620.3,1238.5,2450.6,5,2,0,RT59,34,BOBRN,10,2750,1363.4,1.58,5.56,14393.47,38.5,75580.71,192.4778461,1.732528339,2841597.27,3356585.51,1,0,1
PLAN9O2M71,01-02-2025,P_BSP,CMO_BHOPAL,CUST0272,Central,Plate,TMT,High,103,Rail,815,41,24.5,1421,0,0.57,1269.6,4,2259.5,598.8,1713,7,3,1,MIX60,69,BOST,7,2850,1713,1.35,7.67,19049.77,47.6,119977.52,119.7251273,1.751314515,1564642.99,2445001.44,1,0,1
PLANHSSBEL,22-02-2025,P_BSP,CMO_KOLKATA,CUST0191,East,Wire,HB,Normal,60.9,Rail,1472,45.2,28.7,1212.3,0,0.93,1191.8,1,1554.1,1132.1,1548.6,9,4,1,RT59,44,BRN,10,2750,1548.6,1.3,3.98,840,40.4,54663.63,130.5219809,1.543575169,2360008.32,3518640.11,1,0,1
PLANRQVSLW,13-02-2025,P_BSP,CMO_CHENNAI,CUST0199,South,Coil,A,Normal,78,Rail,463,44.5,8.2,807.3,0,0.85,776.6,1,2648,744,1381.9,7,1,1,RT59,30,BRN,5,2750,1381.9,1.78,6.16,8456.56,36,71566.57,250.8613223,1.572727412,1213797.72,1006261.98,0,0,1
PLANF90KM3,31-03-2025,P_BSP,CMO_CHENNAI,CUST0364,South,Coil,HR,Normal,24.4,Rail,141,37.7,14.9,1110.8,0,0.72,1032.2,1,1191.9,1001.7,1812.7,4,5,1,MIX60,31,BCNHL,4,2850,1792.9,1.74,4.97,0,48.2,101819.69,242.3797313,1.570063535,574741.4,396910.33,0,0,1
PLANTZK3NY,02-01-2025,P_BSP,CMO_DELHI,CUST0184,North,Coil,CR,Normal,36.3,Rail,584,52.6,20.7,1231.3,0,0.64,1121,4,2372.1,682.2,1254.7,3,3,0,RT59,66,BOBRN,4,2750,1254.7,1.12,10.43,24915.94,35.4,63815.79,180.4034989,1.432434599,1435681.66,1049609,0,0,1
PLAN9V20YA,03-11-2025,P_BSP,CMO_MUMBAI,CUST0257,West,Plate,S1,Normal,23.2,Rail,318,36.5,6,1440.6,0,0.91,1407,5,2051.8,413.3,1778.7,8,10,1,RT58,53,BOST,5,2700,1778.7,1.26,4.87,0,51.1,89693.49,218.391464,1.547898094,1035457.1,875532.34,0,0,1
PLANR821UZ,02-01-2025,P_BSP,CMO_BHOPAL,CUST0261,Central,Coil,CR,Normal,41.8,Rail,274,40.5,6,1399.1,0,0.9,1362.9,3,890.2,392.9,1401,9,7,1,RT45,41,BCNHL,9,2200,1125.9,0.83,4.08,0,40.4,93561.93,168.8546085,1.340457607,608765.62,413526.61,0,0,1
PLANVGWW4F,29-04-2025,P_BSP,CMO_CHENNAI,CUST0065,South,Coil,CR,Normal,23.3,Rail,757,48.7,9.2,1113.6,0,0.63,1010.2,3,1026,1010.8,858.9,5,6,0,RT59,45,BOST,3,2750,858.9,0.85,10.69,28369.55,24.3,48377.13,172.8395945,1.582829711,1289832.83,1029135.78,0,0,1
PLANYB8DAL,03-09-2025,P_BSP,CMO_MUMBAI,CUST0018,West,Wire,TMT,Normal,42.1,Rail,1325,48.6,36.8,1113.2,0,0.74,1039.7,3,3780.7,0,1549.1,6,4,1,RT59,65,BCNHL,2,2750,1549.1,1.49,9.54,16432.51,42.3,63142.18,77.2127056,1.466550817,2302775.01,3010179.88,1,0,1
PLANFYO175,24-02-2025,P_BSP,CMO_CHENNAI,CUST0025,South,Rod,TMT,Normal,24.4,Rail,140,40.1,6,1348.5,0,0.8,1280.9,5,3212,1225.8,555.3,6,8,1,RT58,40,BCNHL,1,2700,555.3,0.43,3.02,0,15.4,64181.45,135.1472876,1.6576858,530168.91,128871.81,0,0,1
PLAN0CEHLX,16-03-2025,P_BSP,CMO_DELHI,CUST0204,North,Coil,HB,Normal,40.7,Rail,1232,45.9,18,1051.7,0,0.56,935,2,640.3,703.9,2749.1,3,2,1,RT58,43,BRN,1,2700,1062.6,1.14,4.33,0,28.2,87948.99,244.1269784,1.730301108,2105723.56,2265177.32,1,0,1
PLANSLG6MM,25-02-2025,P_BSP,CMO_KOLKATA,CUST0288,East,Rod,HR,Normal,32.3,Rail,1069,38.7,35,1413.8,0,0.96,1400.9,2,1392.4,543,2151.5,4,6,1,RT59,58,BRN,45,2750,1718.2,1.23,9.35,84148.8,44.8,79083.29,256.2566795,1.254048035,2398865.78,2303380,0,0,1
PLAN1ZXYVG,17-01-2025,P_BSP,CMO_CHENNAI,CUST0347,South,Plate,HR,Normal,92.5,Rail,764,37.1,24.2,1035.3,0,0.88,1004.2,3,2185,1199.5,1474.9,9,3,1,RT59,65,BOXN,1,2750,1474.9,1.47,8.57,12683.24,39.7,78886.98,103.9885867,1.611263689,2008652.98,1815609.95,0,0,1
PLANIUI9KK,02-07-2025,P_BSP,CMO_KOLKATA,CUST0212,East,Coil,HR,High,62.8,Rail,235,32.7,20.7,1587.8,0,0.81,1514.3,1,2489.3,0,561.9,6,5,1,RT59,31,BOXN,10,2750,561.9,0.37,6.07,7672.21,15.1,73285.14,60,1.902796988,488109.68,251257.68,0,0,1
PLANHZLM72,24-01-2025,P_BSP,CMO_BHOPAL,CUST0079,Central,Rod,HB,High,76.8,Rail,1481,44.3,37,1258.8,0,0.91,1231.9,1,2132.1,984.9,1810.1,5,4,1,RT59,64,BOBRN,4,2750,1810.1,1.47,5.04,0,51.1,66468.05,173.8709064,1.534081704,3282267.36,4112501.95,1,0,1
