plan_id,plan_date,plant_id,yard_id,customer_id,region,product_cat,product_grade,priority_tier,priority_score,mode_pref,distance_km,rail_speed_kmph,transit_hours,lp_tph,lp_cutoff_active,lp_shift_util,effective_lp_tph,siding_slots,inventory_t,production_forecast_t,order_demand_t,sla_days,lead_days,rake_available,rake_type,wagons_available,wagon_type,route_block_hours,min_rake_tonnage,planned_qty_t,load_hours,siding_queue_hours,expected_demurrage,utilization_pct,terminal_cost,late_penalty_per_t_day,road_cost_per_t_km,rail_cost_total,road_cost_total,choose_rail_label,selected_for_rake_label,on_time_label,plan_dayofweek,plan_month,plan_day,selected_for_rake_prob,choose_rail_prob,on_time_prob,pred_rail_cost_total,pred_road_cost_total,y_rail,q_rail_tons,optimized_total_cost,optimized_mode
PLAN3NDZ3C,2025-01-23,P_BSP,CMO_KOLKATA,CUST0201,East,Slab,HB,High,108.2,Rail,961,40.6,21.6,1116.0,0,0.62,1009.2,2,1669.5,1242.8,1913.1,7,1,1,RT45,54,BRN,2,2200,1913.1,1.9,11.77,41579.15,65.4,78316.84,233.5801092,1.558364273,1922485.35,2865035.73,1,0,1,3,1,23,0.1058199692813316,0.9818048458125788,0.9964711559317779,2331324.099622401,2862574.7103944416,0,0.0,2862574.710394442,Road
PLANC5RQNS,2025-04-20,P_BSP,CMO_CHENNAI,CUST0161,South,Coil,TMT,Normal,48.2,Rail,1300,47.7,16.6,1452.1,1,0.68,1134.5,5,1973.4,850.2,1818.5,6,4,1,RT58,64,BOBRN,10,2700,1818.5,1.6,7.2,25056.85,52.3,74914.08,196.2410158,1.941988031,2487769.86,4590956.81,1,0,1,6,4,20,0.007022407955155224,0.9910773102093187,0.9966467583715128,2708067.6554644546,4360661.955310869,0,0.0,4360661.955310869,Road
PLANVSOJRP,2025-04-17,P_BSP,CMO_MUMBAI,CUST0099,West,Slab,HR,Normal,62.4,Rail,812,37.1,24.3,1208.0,0,0.93,1187.6,3,656.0,986.2,1498.9,6,2,1,RT45,37,BOXN,11,2200,1247.7,1.05,13.07,67512.94,44.0,72763.62,191.8433791,1.364800469,1263194.39,1382723.57,0,0,1,3,4,17,0.003667121587359232,0.4236970711863758,0.9965853668075396,1562871.3585059668,1441690.1874556497,0,0.0,1441690.1874556497,Road
PLANP7R93F,2025-04-21,P_BSP,CMO_DELHI,CUST0008,North,Rod,CR,Normal,50.4,Rail,502,43.8,12.6,1499.8,0,0.84,1439.6,5,1989.6,669.6,2416.7,9,6,1,RT58,64,BOBRN,5,2700,2391.4,1.66,10.15,39735.51,68.7,86181.2,264.441915,1.568851969,1176587.5,1883379.8,1,0,1,0,4,21,0.07530299558000658,0.9816633404059434,0.9966508588657726,1511358.1499803546,1982056.9271719106,0,0.0,1982056.9271719106,Road
PLANEZEZ5E,2025-04-19,P_BSP,CMO_CHENNAI,CUST0227,South,Wire,HR,Normal,22.2,Rail,651,45.3,16.9,1099.2,0,0.89,1069.4,3,1052.5,759.0,1600.6,4,6,1,RT59,64,BOXN,5,2750,1507.9,1.41,7.66,17217.15,40.6,79287.75,217.9560355,1.857705299,1483766.3,1823603.22,1,0,1,5,4,19,0.003657732980918957,0.9614875831783681,0.9962017235340441,1510381.182958215,1825308.19809845,0,0.0,1825308.19809845,Road
PLANHR07N8,2025-01-18,P_BSP,CMO_MUMBAI,CUST0055,West,Plate,HB,Normal,35.7,Rail,1713,36.1,50.7,1488.3,1,0.92,1240.4,5,1411.2,481.9,1929.3,2,4,1,RT58,44,BOST,4,2700,1700.3,1.37,0.0,0.0,48.9,86214.96,154.1927279,1.249888141,3313487.16,3640441.57,1,0,0,5,1,18,0.0036552510020525088,0.8540282799844854,0.10950025793294908,3514656.8178806426,3673030.5263073714,0,0.0,3673030.5263073714,Road
PLANVOEUBF,2025-07-02,P_BSP,CMO_MUMBAI,CUST0080,West,Rod,A,Normal,46.8,Rail,250,35.4,6.0,864.6,0,0.68,796.5,5,1705.4,1367.1,2917.0,7,5,1,RT59,58,BCNHL,6,2750,2525.7,3.17,9.09,31348.68,69.0,109623.52,165.9581907,1.503678317,929325.96,949460.08,1,1,1,2,7,2,0.7575982845825393,0.805030903783941,0.9966419427270362,871068.3349363715,949182.4216043354,0,0.0,949182.4216043354,Road
PLANN9KR2F,2025-09-04,P_BSP,CMO_CHENNAI,CUST0307,South,Coil,HR,High,68.8,Rail,1485,38.6,40.8,1350.0,0,0.89,1313.1,2,653.7,1187.2,793.1,6,5,1,RT59,49,BRN,10,2750,793.1,0.6,4.11,0.0,20.7,98292.7,150.9397582,1.199158069,1802328.58,1412312.61,0,0,1,3,9,4,0.004017187019086533,0.04513307858790411,0.9961488069965204,1903016.1684098062,1449650.930401091,0,0.0,1449650.9304010912,Road
PLANVB66H3,2025-04-25,P_BSP,CMO_KOLKATA,CUST0348,East,Slab,A,Normal,26.1,Rail,252,38.8,10.9,1172.9,0,0.64,1066.9,3,1333.1,902.1,213.2,4,8,0,RT45,61,BOXN,5,2200,213.2,0.2,10.66,30700.17,7.5,71890.5,195.5137143,1.520764946,559640.87,81705.23,0,0,1,4,4,25,0.0037857017281454626,0.0162706124351241,0.9964219780955744,753503.5659646643,118164.21402464421,0,0.0,118164.21402464423,Road
PLANREM5PU,2025-01-15,P_BSP,CMO_BHOPAL,CUST0345,Central,Wire,HR,Normal,24.6,Rail,742,33.5,26.5,1538.7,0,0.96,1525.0,4,1627.9,389.9,2040.0,1,6,0,RT45,56,BOXN,11,2200,1861.8,1.22,9.94,29291.78,65.7,71363.33,145.1267621,1.587075306,1679471.47,2192474.07,1,0,0,2,1,15,0.006770944930390241,0.9719325241179287,0.020145331966352563,1746038.0117650921,2231425.4581431355,0,0.0,2231425.4581431355,Road
PLANU62RZV,2025-05-03,P_BSP,CMO_CHENNAI,CUST0164,South,Coil,HR,Normal,46.5,Rail,532,36.2,7.2,1096.9,0,0.76,1030.7,4,1451.1,729.4,2211.0,4,2,0,MIX60,67,BOBRN,0,2850,1888.7,1.83,11.97,22751.87,52.5,79661.51,69.51815252,1.383743779,1172893.31,1390369.7,1,0,1,5,5,3,0.007187671155445835,0.726239875720265,0.996080987983327,1346550.1964966482,1381147.3556493754,0,0.0,1381147.3556493754,Road
PLAN1SQQQ5,2025-03-30,P_BSP,CMO_DELHI,CUST0238,North,Plate,S1,Normal,57.9,Rail,429,25.0,24.1,936.9,0,0.9,914.3,4,1020.4,1187.0,3324.2,6,3,0,RT45,42,BRN,8,2200,1732.6,1.9,0.0,0.0,59.2,100442.38,157.6065163,1.592449586,974505.21,1183644.53,1,0,1,6,3,30,0.009741341537902177,0.9619787702234137,0.9933188143613543,1097831.6674098943,1201099.5975081995,0,0.0,1201099.5975081995,Road
PLANL2XOIO,2025-04-29,P_BSP,CMO_BHOPAL,CUST0147,Central,Rod,A,Normal,32.1,Rail,1737,38.0,48.3,1326.7,1,0.89,1097.7,2,802.1,1778.4,1822.5,3,5,1,RT59,34,BRN,11,2750,1822.5,1.66,12.05,69268.15,47.5,92058.92,121.3483348,1.394671485,4947398.54,4415087.11,1,0,1,1,4,29,0.004227631905403866,0.6339774275317739,0.9704290524158258,4115393.335931992,4463772.191513698,0,0.0,4463772.191513698,Road
PLANT860X5,2025-11-04,P_BSP,CMO_KOLKATA,CUST0383,East,Wire,CR,Normal,36.1,Rail,573,45.4,16.0,1611.8,0,0.95,1591.4,4,981.0,830.9,1676.7,1,1,1,RT45,60,BCNHL,3,2200,1479.5,0.93,0.43,0.0,53.0,97589.71,239.347214,1.683786447,1096538.5,1427435.85,1,0,1,1,11,4,0.07694884240701241,0.9469602566477767,0.6933298458414946,1151795.85207266,1458402.8536521797,0,0.0,1458402.8536521797,Road
PLANZU2ZUE,2025-01-28,P_BSP,CMO_BHOPAL,CUST0287,Central,Slab,S1,VIP,101.5,Rail,699,30.0,17.9,1259.0,0,0.78,1190.3,5,565.3,1290.2,1431.6,2,7,1,RT45,41,BOXN,2,2200,1339.4,1.13,10.96,27665.7,47.2,65924.95,94.25019853,1.678933693,1506897.93,1571885.89,1,0,1,1,1,28,0.003667121587359232,0.8714637616654245,0.9776456290943618,1365428.0391400866,1520091.6149088799,0,0.0,1520091.6149088799,Road
PLANUGWUBU,2025-03-15,P_BSP,CMO_MUMBAI,CUST0108,West,Coil,S1,Normal,45.5,Rail,1107,37.2,34.3,1189.5,0,0.91,1161.9,2,1087.9,869.4,2559.5,6,5,1,RT45,69,BOXN,8,2200,1609.5,1.39,2.84,0.0,56.8,83664.47,127.0039155,1.710028043,2419711.74,3046785.18,1,0,1,5,3,15,0.18867458744276971,0.9916801161511349,0.9966269050214983,2267447.870141918,3061367.202950606,0,0.0,3061367.2029506057,Road
PLANGR6E7G,2025-08-02,P_BSP,CMO_DELHI,CUST0144,North,Plate,A,Normal,29.7,Rail,1196,54.7,11.5,896.3,0,0.96,887.4,4,3778.3,1310.3,2156.4,1,1,0,RT45,48,BOBRN,3,2200,2156.4,2.43,8.85,20159.85,79.9,113011.35,252.2091314,1.579378947,3097932.06,4073304.22,1,0,0,5,8,2,0.010760313950761475,0.969606774956105,0.144214961884577,2935559.0935996184,4075464.8751501204,0,0.0,4075464.8751501204,Road
PLANA2IZ5P,2025-02-26,P_BSP,CMO_MUMBAI,CUST0367,West,Wire,CR,High,71.6,Rail,998,39.9,19.9,1436.7,0,0.65,1310.3,2,715.7,0.0,2374.5,6,4,1,RT45,50,BRN,11,2200,715.7,0.55,6.14,12221.49,24.5,71739.41,129.8377164,1.423168247,1163883.06,1016524.39,0,0,1,2,2,26,0.003667121587359232,0.06431859360386402,0.9963055001285662,1310928.1299970343,999250.7930535405,0,0.0,999250.7930535405,Road
PLAN3VOB5A,2025-01-17,P_BSP,CMO_CHENNAI,CUST0383,South,Plate,CR,High,58.5,Rail,85,48.1,9.4,1187.1,0,0.54,1049.9,5,3120.3,455.6,1993.7,1,10,0,RT45,68,BCNHL,7,2200,1993.7,1.9,5.33,6868.5,71.5,71116.9,229.180595,1.354773073,308004.08,229585.94,0,0,1,4,1,17,0.007097855374509019,0.09427172172867351,0.8696980323807513,647701.9166427965,290120.41037507006,0,0.0,290120.41037507006,Road
PLANPO4LJE,2025-04-13,P_BSP,CMO_MUMBAI,CUST0290,West,Plate,HB,Normal,28.2,Rail,367,33.9,15.1,1375.2,0,0.58,1231.0,2,808.0,925.3,2400.0,1,3,0,RT58,32,BRN,10,2700,1363.2,1.11,8.79,30323.98,36.2,68141.07,187.9222755,1.642933159,703919.47,821950.26,0,0,0,6,4,13,0.003667121587359232,0.18734515669277038,0.03622882990703686,1003478.3911983448,784361.0458650991,0,0.0,784361.0458650991,Road
PLANDGFJDL,2025-03-27,P_BSP,CMO_CHENNAI,CUST0143,South,Coil,A,Normal,60.4,Rail,1721,42.7,42.1,1249.3,0,0.67,1145.4,4,2445.8,313.3,2783.1,6,2,1,RT58,39,BCNHL,6,2700,2633.8,2.3,6.7,22197.89,73.2,100596.56,163.1399475,1.29566803,5701485.12,5872964.92,1,0,1,3,3,27,0.03169620104574586,0.9143583494403114,0.9962182921496137,5383905.815476877,5811262.151662899,0,0.0,5811262.151662899,Road
PLANOGWLAC,2025-03-31,P_BSP,CMO_DELHI,CUST0224,North,Slab,CR,Normal,26.5,Rail,1249,32.9,43.6,1710.0,0,0.66,1563.2,2,8760.8,969.8,2217.1,1,3,1,RT59,59,BRN,9,2750,2217.1,1.42,5.67,8192.22,57.8,57272.85,144.0296541,1.867407169,3251697.98,5171145.32,1,1,0,0,3,31,0.6692308174970842,0.9894241814320996,0.024116553305172844,3219145.3765131813,5252229.104675771,0,0.0,5252229.104675771,Road
PLANOLOLN3,2025-02-13,P_BSP,CMO_BHOPAL,CUST0340,Central,Coil,HR,Normal,96.6,Rail,1527,42.4,42.1,1060.6,0,0.55,940.5,1,2576.3,815.8,1422.2,9,1,1,RT59,36,BCNHL,1,2750,1422.2,1.51,4.25,0.0,38.9,73588.79,203.7341519,1.625073676,3518353.37,3529171.53,1,0,1,3,2,13,0.003667121587359232,0.9798803420620531,0.9964926177891683,2812621.751035344,3523670.0742791994,0,0.0,3523670.0742791994,Road
PLANEH1VR1,2025-01-25,P_BSP,CMO_CHENNAI,CUST0312,South,Coil,TMT,High,70.5,Rail,687,45.1,19.8,1069.8,0,0.93,1050.4,4,1611.2,157.8,1123.8,2,5,1,RT58,62,BOST,11,2700,1123.8,1.07,0.0,0.0,32.3,87686.67,86.63349442,1.298686979,1383884.89,1002652.06,0,0,1,5,1,25,0.003606992131874325,0.04384889432372784,0.9832875488109433,1429567.8084764164,1000562.7658311771,0,0.0,1000562.765831177,Road
PLANNECQOR,2025-01-17,P_BSP,CMO_KOLKATA,CUST0385,East,Slab,A,High,109.7,Rail,536,43.6,11.0,1453.4,0,0.79,1376.7,5,1640.7,83.2,1908.7,9,2,1,RT59,46,BRN,8,2750,1690.6,1.23,3.51,0.0,44.1,74580.86,160.1178995,1.494830525,1042653.84,1354558.02,1,0,1,4,1,17,0.005284416462876694,0.8813892682136255,0.994703365007143,1279301.3581251896,1346964.7773148806,0,0.0,1346964.7773148809,Road
PLANOI5J8Y,2025-01-13,P_BSP,CMO_CHENNAI,CUST0359,South,Slab,A,High,68.7,Rail,1305,37.9,29.1,1459.5,0,0.91,1426.2,3,3080.3,933.2,2859.4,5,6,1,RT45,35,BOXN,7,2200,2859.4,2.0,10.35,28360.14,100.9,79186.43,245.2238809,1.69324727,4004315.67,6318380.97,1,0,1,0,1,13,0.10005716290402213,0.9897010288899348,0.9954730683976681,4154739.2796256505,6289795.70949547,1,2200.0,4754646.5581156,Rail
PLANIT2KOD,2025-03-25,P_BSP,CMO_DELHI,CUST0154,North,Wire,S1,Normal,27.4,Rail,1315,41.6,27.6,1467.4,0,0.52,1289.8,2,2289.7,341.2,1944.4,5,5,1,RT45,31,BOXN,6,2200,1944.4,1.51,8.49,23622.19,68.6,86340.5,188.2474252,1.806279886,2272045.28,4618451.75,1,0,1,1,3,25,0.013775896090527404,0.9910942414406324,0.9959798056877351,2996153.377267528,4614020.842421467,0,0.0,4614020.842421467,Road
PLANWH8N92,2025-01-25,P_BSP,CMO_CHENNAI,CUST0065,South,Coil,A,High,96.5,Rail,1109,41.7,35.1,1196.8,0,0.68,1100.0,2,2120.9,617.1,638.2,8,3,0,RT58,36,BOST,5,2700,638.2,0.58,6.66,4491.87,18.3,86415.27,121.0130536,1.647625188,1480686.36,1166129.46,0,0,1,5,1,25,0.0036375310479181385,0.1530578865169482,0.9953323048201398,1460614.7200423386,1217227.2383853665,0,0.0,1217227.2383853665,Road
PLANTP6QAQ,2025-09-03,P_BSP,CMO_DELHI,CUST0186,North,Plate,HR,High,58.4,Rail,703,44.0,8.3,1251.9,0,0.69,1156.0,4,1364.6,1052.4,3044.2,1,2,1,RT58,66,BCNHL,5,2700,1996.0,1.73,10.75,36870.05,55.5,86655.96,258.793501,1.366721399,1601901.49,1917767.07,1,0,0,2,9,3,0.04050375016376259,0.8614289430920801,0.08162262994419917,1796781.893791988,1946787.0045107894,0,0.0,1946787.0045107894,Road
PLAN3K8A7R,2025-10-01,P_BSP,CMO_KOLKATA,CUST0395,East,Rod,CR,VIP,129.4,Rail,455,39.3,14.5,863.2,0,0.67,791.9,4,2204.1,767.2,2122.9,9,5,1,MIX60,42,BOXN,1,2850,2122.9,2.68,13.21,51432.91,56.2,88597.64,98.30553619,1.839103622,1540419.97,1776426.05,1,0,1,2,10,1,0.02108970682020781,0.9647941074774394,0.9963733593348674,1415516.0035963838,1761887.3808745882,0,0.0,1761887.3808745882,Road
PLANV4NMWV,2025-08-03,P_BSP,CMO_DELHI,CUST0019,North,Coil,TMT,VIP,97.0,Rail,526,45.6,14.5,1159.8,0,0.92,1137.5,1,616.9,630.8,1736.8,1,5,1,RT59,45,BOXN,10,2750,995.4,0.88,12.28,36329.09,26.8,86848.83,94.76522013,1.572249186,1252442.35,823198.86,0,0,0,6,8,3,0.003667121587359232,0.061994967367443074,0.09077200821288788,1150187.9848926994,857426.0660604078,0,0.0,857426.0660604078,Road
PLANSB0UKO,2025-04-15,P_BSP,CMO_KOLKATA,CUST0055,East,Coil,A,High,92.2,Rail,914,48.6,27.6,1269.2,0,0.73,1184.0,5,1262.9,193.3,1682.6,5,1,1,RT59,46,BCNHL,10,2750,1378.9,1.16,3.44,0.0,37.7,100718.25,233.3570773,1.862528461,1779399.0,2347371.81,1,0,1,1,4,15,0.003667121587359232,0.9789862603149583,0.9965566756513522,1795917.418720172,2346465.8863673965,0,0.0,2346465.8863673965,Road
PLANEFUKPV,2025-04-19,P_BSP,CMO_MUMBAI,CUST0040,West,Coil,S1,Normal,63.4,Rail,1209,38.1,34.7,1269.3,1,0.72,1002.9,2,5288.8,1399.9,186.6,8,3,1,RT45,37,BRN,5,2200,186.6,0.19,11.14,38180.79,6.4,65489.23,60.0,1.691657828,731815.17,381636.99,0,0,1,5,4,19,0.003592774289778277,0.0764212434864413,0.9959859715606539,1099865.508997043,424012.75244607596,0,0.0,424012.75244607596,Road
PLAN8LYMJ1,2025-01-18,P_BSP,CMO_DELHI,CUST0079,North,Wire,CR,High,74.4,Rail,1754,40.3,41.0,1010.6,0,0.97,1004.2,2,3050.9,1122.1,1219.9,1,1,1,RT59,64,BOST,8,2750,1219.9,1.21,4.11,0.0,34.5,82128.43,278.4900959,1.67682965,2758394.59,3587920.12,1,0,0,5,1,18,0.003667121587359232,0.9854703948347766,0.02936869178851177,2758876.2253556256,3576984.030005968,0,0.0,3576984.030005968,Road
PLANQI9MQV,2025-04-21,P_BSP,CMO_KOLKATA,CUST0306,East,Plate,S1,High,81.3,Rail,890,34.6,23.3,925.2,0,0.65,843.1,3,1673.2,542.3,1208.7,5,3,1,RT59,57,BCNHL,2,2750,1208.7,1.43,5.64,0.0,33.0,59145.86,176.8328581,1.594167875,1864624.43,1714914.93,0,0,1,0,4,21,0.003630738982330902,0.4781128302535394,0.9964241679254864,1604325.2644665355,1759875.4701532556,0,0.0,1759875.4701532556,Road
PLANAYXAR6,2025-10-04,P_BSP,CMO_MUMBAI,CUST0055,West,Wire,A,Normal,32.9,Rail,1504,42.0,35.7,1461.0,0,0.63,1325.9,2,938.9,438.8,2237.4,3,4,1,RT59,41,BOBRN,2,2750,1202.2,0.91,6.01,0.0,34.0,63516.64,202.264686,1.684776665,2115051.52,3046259.51,1,0,1,5,10,4,0.003667121587359232,0.9627257223808432,0.9896449079519579,2434039.160058362,3078772.1949097356,0,0.0,3078772.1949097356,Road
PLANYO6Z1T,2025-04-21,P_BSP,CMO_KOLKATA,CUST0053,East,Slab,HR,Normal,74.9,Rail,1199,42.1,35.3,1421.8,0,0.63,1290.4,2,6054.1,575.2,1651.9,8,3,1,RT59,52,BCNHL,1,2750,1651.9,1.28,5.78,0.0,45.2,86117.94,291.647549,1.85775841,3018458.7,3679528.51,1,0,1,0,4,21,0.003678774460407468,0.9898181477116876,0.9964200594765681,2600599.368910041,3689302.8599547204,0,0.0,3689302.859954721,Road
PLAN2XCB3Y,2025-03-27,P_BSP,CMO_CHENNAI,CUST0128,South,Plate,HB,Normal,35.3,Rail,1491,40.3,41.8,1141.9,1,0.52,854.3,1,1244.4,408.3,2563.5,3,2,1,RT59,49,BRN,1,2750,1489.4,1.74,0.0,0.0,38.8,78041.79,185.8407864,1.486180248,3077387.65,3300353.64,1,0,1,3,3,27,0.0036308571789642,0.9458086734276712,0.9856665575011776,2900309.544117114,3370256.6814900152,0,0.0,3370256.6814900152,Road
PLANYM33MG,2025-03-02,P_BSP,CMO_DELHI,CUST0181,North,Slab,A,VIP,122.8,Rail,1038,40.8,18.9,1458.1,1,0.88,1203.3,3,1017.6,681.3,289.4,8,5,1,RT59,30,BRN,6,2750,289.4,0.24,3.64,0.0,7.5,80782.07,150.1005411,1.798183,891146.72,540169.14,0,0,1,6,3,2,0.003667121587359232,0.0444442194861736,0.9963055001285662,1079508.9429727816,588056.3243596383,0,0.0,588056.3243596383,Road
PLAN1ZAQ7Q,2025-04-21,P_BSP,CMO_MUMBAI,CUST0161,West,Wire,HB,VIP,100.8,Rail,1555,51.5,31.8,1434.9,0,0.65,1310.4,2,2006.9,1246.5,3381.1,2,6,0,MIX60,34,BOST,9,2850,2754.8,2.1,1.98,0.0,76.5,98272.44,220.5447986,1.587743073,5752301.56,6801437.23,1,0,1,0,4,21,0.010412801673935724,0.9855078198934014,0.7696858314690788,5251179.716856517,6779355.613835521,0,0.0,6779355.613835521,Road
PLANHAK7MD,2025-08-01,P_BSP,CMO_DELHI,CUST0233,North,Slab,S1,Normal,24.5,Rail,928,25.0,42.1,780.4,0,0.98,776.3,2,1307.4,1204.6,2670.0,3,6,1,RT59,39,BOST,2,2750,2030.2,2.62,9.21,31007.56,57.4,90486.33,180.4795953,1.668837278,2151585.92,3144132.15,1,0,1,4,8,1,0.01565760051594556,0.9900004046787909,0.9057250978731992,2314957.921017093,3193664.754928139,0,0.0,3193664.754928139,Road
PLANWKZIRN,2025-09-02,P_BSP,CMO_CHENNAI,CUST0165,South,Rod,HR,High,59.6,Rail,888,37.0,22.6,1174.0,0,0.53,1036.9,5,540.2,1203.3,2100.2,1,8,1,RT59,58,BOBRN,2,2750,1262.2,1.22,8.71,12112.59,35.7,70442.46,226.9540592,1.847514553,1960373.16,2070756.39,1,0,0,1,9,2,0.003667121587359232,0.9703134416504127,0.04304960396712992,1697235.2047138708,2023962.0755165971,0,0.0,2023962.0755165971,Road
PLANK6ZHH3,2025-04-23,P_BSP,CMO_KOLKATA,CUST0011,East,Rod,S1,High,75.5,Rail,1058,37.9,14.9,1534.7,0,0.77,1446.4,2,761.6,281.0,1557.4,1,5,0,RT59,47,BOXN,0,2750,930.2,0.64,3.75,0.0,25.0,75347.79,191.1779181,1.488439363,1434857.5,1464849.98,0,0,0,2,4,23,0.0035805281417556583,0.3593133435318536,0.12348131538665803,1639077.3497317368,1428799.66396789,0,0.0,1428799.6639678897,Road
PLANO5URTX,2025-04-18,P_BSP,CMO_KOLKATA,CUST0262,East,Coil,CR,Normal,58.7,Rail,495,48.7,9.0,802.4,0,0.81,765.3,1,1605.5,385.7,2352.1,4,2,1,RT59,68,BOXN,6,2750,1836.9,2.4,3.07,0.0,49.4,90274.28,72.59712904,1.858407292,1417218.03,1689785.64,1,0,1,4,4,18,0.003678774460407468,0.9593872380738382,0.9966448278450151,1244721.6834839454,1625333.3097618667,0,0.0,1625333.3097618667,Road
PLANUYUCEC,2025-03-24,P_BSP,CMO_CHENNAI,CUST0172,South,Plate,HR,VIP,108.2,Rail,805,42.9,9.9,837.3,0,0.81,797.7,2,918.5,1185.0,1862.1,5,3,1,RT58,37,BRN,8,2700,1629.5,2.04,7.71,27538.42,43.2,51374.99,199.740648,1.725769603,1782448.67,2263773.96,1,0,1,0,3,24,0.00424500081005639,0.9728377312099806,0.9965658142604759,1818211.3065328375,2217237.928578539,0,0.0,2217237.928578539,Road
PLANJUIS2G,2025-11-02,P_BSP,CMO_KOLKATA,CUST0075,East,Wire,HR,Normal,32.7,Rail,1607,43.0,27.5,1356.7,0,0.64,1233.4,2,712.3,980.3,1661.0,3,5,0,MIX60,36,BRN,2,2850,1300.5,1.05,13.27,43647.43,33.3,66899.48,264.3014753,1.720930086,3320041.11,3596577.81,1,0,1,6,11,2,0.0041818399315935225,0.9733497086755221,0.9412180171541695,2661622.2962237285,3597357.105958231,0,0.0,3597357.105958231,Road
PLANY9YTJU,2025-10-02,P_BSP,CMO_KOLKATA,CUST0272,East,Rod,HB,VIP,102.6,Rail,533,47.6,17.6,1523.1,0,0.76,1433.6,4,750.5,626.2,2323.1,2,5,1,RT59,50,BOXN,7,2750,1126.2,0.79,9.04,33532.33,30.3,81681.93,241.5955511,1.847554918,1238044.56,1109021.81,0,0,1,3,10,2,0.00363807521664152,0.3363285845009589,0.9869714566573375,1219943.4941887509,1090952.955526091,0,0.0,1090952.955526091,Road
PLANQ7X7B7,2025-11-04,P_BSP,CMO_KOLKATA,CUST0207,East,Plate,A,VIP,101.3,Rail,1394,38.9,50.9,1130.0,0,0.92,1106.7,2,1617.3,1084.6,2407.8,1,3,1,RT59,30,BOST,7,2750,2268.1,2.05,7.65,11400.0,64.1,84824.98,176.5613007,1.696502611,2935625.86,5363885.58,1,0,0,1,11,4,0.024232403789372428,0.9904865247096336,0.02085441484752353,3521064.5069970116,5388772.8491634345,0,0.0,5388772.8491634345,Road
PLANP9JYQN,2025-06-01,P_BSP,CMO_BHOPAL,CUST0124,Central,Slab,A,Normal,25.6,Rail,1637,43.9,45.5,1082.7,0,0.53,955.5,3,1673.4,1001.9,2048.5,3,6,1,RT45,43,BOXN,6,2200,2048.5,2.14,9.3,27689.44,72.3,86981.25,66.40815006,1.746832963,3694375.49,5857820.05,1,0,1,6,6,1,0.03417164586631575,0.9917532021792779,0.9445096880450423,3903933.221539438,5734461.3994445205,0,0.0,5734461.3994445205,Road
PLAN15IKPQ,2025-02-21,P_BSP,CMO_DELHI,CUST0088,North,Rod,CR,Normal,25.0,Rail,1296,36.8,19.5,775.2,0,0.67,711.6,4,2993.7,186.9,1465.4,1,2,1,RT45,40,BCNHL,8,2200,1465.4,2.06,1.5,0.0,52.5,92827.7,216.5035456,1.898854843,2018196.48,3606226.12,1,0,0,4,2,21,0.026381433872035204,0.9875561015043155,0.027697536886844603,2315626.379953542,3625460.480953725,0,0.0,3625460.480953725,Road
PLANAHCUA0,2025-01-26,P_BSP,CMO_MUMBAI,CUST0337,West,Coil,HB,Normal,76.4,Rail,229,33.7,6.0,1125.4,0,0.75,1056.1,3,878.8,0.0,1715.4,6,1,1,RT59,62,BRN,6,2750,878.8,0.83,11.45,24035.83,22.9,100955.87,216.3606718,1.688654289,810248.95,339833.57,0,0,1,6,1,26,0.003667121587359232,0.044941109617821814,0.9965853668075396,809008.7824798309,355360.35845967365,0,0.0,355360.35845967365,Road
PLAN9PCIFL,2025-05-03,P_BSP,CMO_CHENNAI,CUST0200,South,Coil,HR,VIP,108.9,Rail,838,50.8,13.0,832.0,0,0.85,800.1,3,1618.2,794.8,857.5,3,6,1,RT45,44,BOXN,1,2200,857.5,1.07,0.0,0.0,30.2,82648.91,223.5956421,1.1,1307422.69,790443.5,0,0,1,5,5,3,0.003667121587359232,0.03167092218073858,0.9964881815983505,1256982.8476988757,750331.241918861,0,0.0,750331.241918861,Road
PLANWDR3VW,2025-08-04,P_BSP,CMO_DELHI,CUST0024,North,Wire,A,High,72.7,Rail,858,42.2,11.5,1111.3,0,0.62,1005.8,1,1208.9,0.0,818.3,4,3,1,RT58,42,BOBRN,2,2700,818.3,0.81,9.5,18983.52,23.5,67001.92,248.4218136,1.490800247,1248349.08,1046692.94,0,0,1,0,8,4,0.003667121587359232,0.15650581803062255,0.996581327228346,1268895.4319431416,939663.454711444,0,0.0,939663.454711444,Road
PLANMJDIMB,2025-02-28,P_BSP,CMO_MUMBAI,CUST0196,West,Slab,TMT,High,98.0,Rail,1052,43.9,26.8,1527.7,0,0.89,1485.7,2,2517.0,1238.2,1378.7,8,3,1,RT59,47,BCNHL,6,2750,1378.7,0.93,15.38,49708.4,37.7,78844.15,72.11254158,1.788039142,1965469.9,2593358.38,1,0,1,4,2,28,0.003672602040305834,0.981676624409529,0.9960950002010563,1993091.0355081875,2555556.338683164,0,0.0,2555556.338683164,Road
PLANM271W1,2025-02-25,P_BSP,CMO_BHOPAL,CUST0301,Central,Plate,A,Normal,44.9,Rail,842,33.5,24.0,876.4,0,0.81,834.7,3,1826.7,1004.2,2478.8,5,3,1,MIX60,62,BCNHL,0,2850,2429.2,2.91,4.1,0.0,65.3,69201.99,113.8099809,1.513147609,2989822.88,3094971.54,1,0,1,1,2,25,0.12982536551649526,0.9843283498080829,0.9966508135897262,2606017.654317152,3204290.9891285403,0,0.0,3204290.9891285403,Road
